"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-01-08 23:08:33.155Z",  15875347, 868300000,1, 1,"CRC_OK" , 16,"LORA",125000,"SF7"   ,"4/5",-55, +9.8,"4001EFCD-AB000600-04A1CA4F-8CFA3E00"
"AA555A0000000101","","2016-01-08 23:08:33.155Z",  15875364, 868400000,0, 7,"CRC_BAD", 16,"LORA",125000,"SF7"   ,"4/5",-97, -6.0,"4091EBCD-F8E68800-3261CA1E-0CF33E40"
"AA555A0000000101","","2016-01-08 23:08:47.384Z",  30108315, 868500000,1, 2,"CRC_OK" , 16,"LORA",125000,"SF7"   ,"4/5",-57, +6.8,"4001EFCD-AB000700-04AB5CA4-8F8B90FE"
"AA555A0000000101","","2016-01-08 23:08:49.805Z",  32529635, 868300000,1, 1,"CRC_OK" , 16,"LORA",125000,"SF7"   ,"4/5",-60, +9.8,"4001EFCD-AB000800-04DD58CC-D07605BC"
"AA555A0000000101","","2016-01-08 23:08:54.919Z",  37645403, 868500000,1, 2,"CRC_OK" , 16,"LORA",125000,"SF7"   ,"4/5",-57, +7.2,"4001EFCD-AB000900-0455BF54-FFB2EE83"
"AA555A0000000101","","2016-01-08 23:09:06.544Z",  49260980, 868400000,0, 7,"CRC_BAD", 16,"LORA",125000,"SF7"   ,"4/5",-97, -4.8,"E093E9CD-C84F0B09-340B127B-0E588EB2"
"AA555A0000000101","","2016-01-08 23:09:06.544Z",  49260979, 868300000,1, 1,"CRC_OK" , 16,"LORA",125000,"SF7"   ,"4/5",-57, +8.5,"4001EFCD-AB000B00-0403121B-C2588E74"
"AA555A0000000101","","2016-01-08 23:17:08.897Z", 531596043, 868300000,1, 1,"CRC_BAD",188,"LORA",125000,"SF7"   ,"4/7",-114,-11.8,"EF3C1870-3F803F57-340934F9-D4BA10BD-49352A54-184A39F3-A9988490-01BB285D-1B51E859-4B126F2F-969A0C50-11735C05-A51A7DAE-703240E8-DFD27D88-77613B56-EA360CD3-15B0A4F7-E6476C4E-5FB6E853-B4AF2780-2874F56E-DD5FA4A3-934578F9-A84792EF-F693D110-F5785082-F50D1E60-F8D1CDA5-48F79AB8-28CD42B0-9930C10F-5449513D-0E9F7137-9F2EFC92-53F6AD26-93966614-4B5A0827-86AA285D-0404A80A-FE08E703-904EEE69-3FE5051F-7E16BAEA-F8B2C40A-C62B0CD3-5BF53DE5"
"AA555A0000000101","","2016-01-08 23:17:44.968Z", 567665187, 867600000,0, 3,"CRC_BAD", 93,"LORA",125000,"SF7"   ,"1/2",-115,-11.5,"CB817DD9-F1BD0367-D6BF12DC-AF010D8F-D6837E71-4303D242-F6700070-29CA8C8F-0DBCAB10-AE3D50A4-16BA3A2E-7AB1D4F8-8F6222CF-DF62B1E9-E2138D68-63D4A906-F59279ED-66DAC563-A41A30F2-75EEB921-4EBBBBAE-4A4BAF24-326DD2DB-42"
"AA555A0000000101","","2016-01-08 23:19:08.007Z", 650702393, 868300000,1, 8,"CRC_BAD", 40,"LORA",250000,"SF7"   ,"1/2",-113,-11.5,"746FABF8-03EA1040-05F19375-BD50FB25-418C0643-9B1E31AA-8DB17B0F-3B393F9C-91222C3C-2398B860"
"AA555A0000000101","","2016-01-08 23:20:21.979Z", 724669772, 868000000,0, 5,"CRC_BAD", 95,"LORA",125000,"SF7"   ,"4/5",-114,-11.8,"CF48FEAE-86D0D4DD-ABA1E3A7-67229842-C8A3BAA6-64B894BA-CCA2DE62-86B92893-112B1293-869A928B-B547CD08-4EED2F4D-AFC9C0BB-0E6A4614-89328B81-89E61A3B-1275B15B-34D868BC-F6E39B6F-1746E469-0AB2377B-1AE70BEE-3935BAD4-AD5B9B"
