"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2015-03-01 22:19:15.951Z",  82212764, 868400000,0, 7,"CRC_BAD", 23,"LORA",125000,"SF7"   ,"4/5",-87, -6.8,"00F03254-455EBADC-3EEF4519-4C0BA3C4-402B49BE-E86A94"
"AA555A0000000101","","2015-03-01 22:19:15.951Z",  82212779, 868300000,1, 1,"CRC_OK" , 23,"LORA",125000,"SF7"   ,"4/5",-39,+10.8,"00103254-7698BADC-FEED551A-000BA304-002B4978-E06A94"
"AA555A0000000101","","2015-03-01 22:19:42.820Z", 109086132, 868400000,0, 7,"CRC_BAD",224,"LORA",125000,"SF7"   ,""   ,-119,-12.0,"EA3EC7FE-3A49CA85-58F220CF-8F1B3BE9-BA8F5056-8AD42642-86FF17E0-E9476A39-7AF58E91-B7D71FDB-A5CE4000-22D3ADCA-3482ABEF-07DDF6C4-E01AEC45-A9335B9F-326290E8-03EAE1D6-1AA241F6-0432FBC9-17E03A2C-8E292692-34C8F638-128FFF41-121197C0-4A741E1B-3F9C8BDF-A7A78FBF-5F87A29A-BE10A9E0-2CD74B44-780218C1-D9E12381-C3605724-9A180035-D1402712-54CA3612-49806AD9-8F08C8D1-94EAF17C-B85A3323-9067407E-BCFD0BDB-B60B3A2A-759FDF3E-FE27F84D-DBBADA34-75FC9C56-6FBF3A79-4FAC937F-5B57F7E9-46A28315-6467030A-1C4EA78E-3A68A8F4-4BF18D1D"
"AA555A0000000101","","2015-03-01 22:20:36.972Z", 163237811, 868500000,1, 2,"CRC_BAD",254,"LORA",125000,"SF7"   ,"4/5",-117,-11.0,"4F9661F6-49FAC079-8CF3E51F-9A1BB76B-0075DCAE-CE483AF3-0144C8EA-14720506-E5E4B228-16BF1756-836D637A-A3B3C592-BF6C2D82-06DA2387-1704509D-AA2A9F73-B1549B75-7217842C-9B5DAFC6-D11D3D1A-EC64AD7D-7C440020-B676BBE7-5BE5D092-B99F1133-24945CE0-C5EF7C49-B52DA7BC-214432CF-2F327224-FA67AF1E-EB76FFB3-2485F71C-54EB344C-6C9A4EF0-2686EB4E-B7CFEFF0-11D49B2C-81A3A470-1FFAE66B-640650FB-5C1DBE45-4194E53B-131851CB-AAE7DC99-1C479E28-E83FE73A-42F9BE20-8A04743F-1EE6D4A8-FEF9A76B-52DD6BE2-B4D02D3A-754BA5FF-8994861B-7552E464-A72C7829-902BEE2D-BC36C60F-5B66E247-A06D4E87-BF721BF7-2111D38F-5EBA"
"AA555A0000000101","","2015-03-01 22:20:52.805Z", 179070956, 868400000,0, 7,"CRC_BAD",134,"LORA",125000,"SF7"   ,"4/7",-119,-11.5,"7C49D024-B35940C4-6E057D11-A8A7AC02-319A2934-1782E737-7DA8157A-C7257920-DD331E61-0788C3C3-D727A6BE-15B1A858-67A8A979-74DD2B7A-2298DD0D-DF40D1CD-D7BEE1C6-65325BE6-B4B174F5-538B0357-13F8D1FB-90CE153C-DB2C9FC9-F3960F9F-D6DDDBF6-0C3A9BE5-3753158D-F62EE9DB-10406EBA-7B05C244-84192D02-6BA04E56-EBD7B192-34B8"
"AA555A0000000101","","2015-03-01 22:21:15.725Z", 201989508, 868000000,0, 5,"CRC_BAD", 71,"LORA",125000,"SF7"   ,""   ,-115,-11.8,"CF52BF7C-48894BF4-C2C4E610-133A35B5-1EA6E7DD-4AFBCD68-C3A3085F-E1472755-D52CF759-F3516743-BD0496F8-B5EB74BA-DC56C138-CDC0B2A8-9C8A224B-B7E90153-3F2EFCB0-B577F8"
"AA555A0000000101","","2015-03-01 22:21:52.804Z", 239066148, 868300000,1, 8,"CRC_BAD", 22,"LORA",250000,"SF7"   ,""   ,-113,-11.8,"6DF66688-03943D24-952B66C7-853A6DA7-927CB7C4-E6B9"
"AA555A0000000101","","2015-03-01 22:23:09.932Z", 316191188, 868400000,0, 7,"CRC_BAD",104,"LORA",125000,"SF7"   ,"2/3",-118,-11.0,"EEE51C8D-29F5372B-A6938B38-0F54822B-02AEDE71-79821C1C-44FB55D6-B681A2E6-0CBE789A-EFFC2F00-89901C55-F52D3E61-E2D2984D-B327245D-6CE99331-46B01CDA-73CC3992-AA953BF9-E1F6C547-ECCB3FFD-A750332D-880BD632-5600A11B-05A16CEC-7B27B3AF-D94EA8C2"
"AA555A0000000101","","2015-03-01 22:23:47.480Z", 353734771, 868300000,1, 1,"CRC_BAD",166,"LORA",125000,"SF7"   ,"2/3",-117,-11.8,"D3FD16DF-1DCD8321-7924B759-E8C2F1B5-CC7E4D32-03987504-4B96D98D-DA151142-7EE7AFB4-BF008731-7CFD3DFA-32178EA1-B54A2D86-C46E7E07-80FDB42B-E8FB9A89-4798D783-512ED381-4F1A8FFC-F5CF39C5-33C172DA-EC340ACA-D8CDCE0C-F47063DE-5E5BEB64-AFEFE2C8-3EC734FB-6920244B-96760073-96CD3ED0-C897C15C-11083451-C3154AD0-6D6C0904-A4DB804F-DBFD14BC-2C7DC4D5-8831875F-EA48E9A2-8EA47A1E-E4A3F483-8957"
"AA555A0000000101","","2015-03-01 22:24:53.941Z", 420195035, 867800000,0, 4,"CRC_BAD",176,"LORA",125000,"SF7"   ,""   ,-115,-11.8,"7B07290F-5B84754D-390E97FF-75AED6B1-6D309398-A08542C6-603265B8-9CF71821-F0B11709-50A21C5D-71933DB2-1F2CDF27-86A21451-037354A2-4C8FBB5C-B9F37146-73935BB4-A7EB7AF2-29362C02-BE8173AE-39C51D47-7C1A1561-B9CDD876-E8C0B8B5-C2C1D843-9A5D1AFB-3396D8C2-BA582469-73504E13-8B058243-BB85B5EF-FFF28EF3-99223668-00B459F3-DD2C4AD7-76E60E78-F74F0694-4FBA5DAE-27E62C70-B1EE3BA7-E1605675-E0A19C6F-F013AED1-05A1E9FA"
"AA555A0000000101","","2015-03-01 22:24:58.142Z", 424395908, 868000000,0, 5,"CRC_BAD",213,"LORA",125000,"SF7"   ,"2/3",-114,-11.5,"309F96C5-295DD26C-D569A78D-C5864B88-54E59B07-5B8F9736-A02DA6AC-66208109-435CA0F5-3DE526C1-E44BFF71-9A9A7CA7-7413C237-367A3316-1118A2B0-BD1868C3-D888A608-AC8A9190-49598690-82939A8F-4AE90A74-35DA247B-8C47040B-D5B9324A-9941A6A8-96757786-15C61776-74A0F445-2D2C2A18-FE4D9556-79EDE641-5123B714-581B676B-F36598E4-DA4A2179-F26F90DA-F303DDC0-EBDB7ABE-2F4A155E-0B3108B7-30EB80C0-CD0990F5-2DFC3B0F-E1B24990-30AFDECA-7F38A5E2-D4CD9704-ADBD26CD-1367C8F3-4FFCBB09-B1E5B314-D9CA4F2F-91A8DE03-43"
"AA555A0000000101","","2015-03-01 22:29:36.584Z", 702825468, 868200000,0, 6,"CRC_BAD",123,"LORA",125000,"SF7"   ,"4/5",-117,-12.0,"636C4C1F-5E50DEB5-A544DE64-01C74E5F-57D8D8B6-CCD309DE-598ED444-2E246D4F-08AE27A1-44D7E9FB-066ABEF3-D871C19A-8C8226DE-2A5F98DF-53A83D01-1794AF37-EAE274E2-5078AA8D-4312B385-94BEC212-3762B9EB-4C5F4FFE-EFA7B897-59114F43-DE354166-FFC4AFEC-BBEDE05B-7024EDBE-7500BBAD-F4E9BD3E-0B91F6"
"AA555A0000000101","","2015-03-01 22:31:09.955Z", 796192307, 868500000,1, 2,"CRC_BAD",124,"LORA",125000,"SF7"   ,"1/2",-117,-12.0,"B65AADE9-7D5633D1-F3120193-C2B177B1-189092D8-E9004478-A7D12F34-8C86608E-4C796851-5F80FFB9-80FE7B12-74A188D3-01D43FCD-BE0D29A6-E786D563-363A9A0A-A9246AB5-2E056E13-2B82A48A-F73975DE-ACA69D86-349CFAD8-F56BEB70-69C0496B-131410A5-E95E7936-7C166D5B-0297EDA7-12D3D7A8-AEDC0450-9B135EEE"
"AA555A0000000101","","2015-03-01 22:33:37.284Z", 943512292, 868200000,0, 6,"CRC_BAD",247,"LORA",125000,"SF7"   ,"2/3",-114,-10.8,"0B61F21F-74A14FA3-1A47FD72-483D7BB1-441E9091-ECAD4B62-FE7F4345-42C796DE-D6A15224-AB6B98DD-1D27821C-185D029B-CB045568-112B145A-F3BF9F41-87CDA3FE-FB311F4F-3F97CB9E-9AEF5EAE-DB048632-99EE83CB-D751B6D1-EC41C494-E7F3EFA6-C804A949-5620F082-364868B4-A0DAAF8F-6EA2F0ED-9811EEB1-E3C7C656-9CB08450-0896AE09-154BBAE0-76ACB61C-CBCBE560-BBD96DF4-0B87C700-0DA9FD33-9121735A-ECFD7C4C-294A43D0-20767C9F-DE260513-5FC55AEE-36243C2E-1E4D083E-4120D6FC-6F7FC2DA-5B539797-FFAE4598-DF698F24-31BEB616-52D13EE8-61C89384-9272A274-5843C634-22BD758A-EC57B373-24752DE0-237E4B09-D65A3B"
"AA555A0000000101","","2015-03-01 22:35:00.822Z",1027033788, 868200000,0, 6,"CRC_BAD", 23,"LORA",125000,"SF7"   ,"4/5",-75, -5.0,"11432B54-5489F9BC-6E81451A-0009A306-028E2E4D-3AA18E"
"AA555A0000000101","","2015-03-01 22:35:00.822Z",1027034324, 868400000,0, 7,"CRC_BAD", 23,"LORA",125000,"SF7"   ,"4/5",-87, -3.8,"00D37A5C-76883CEC-38E5057A-0C0383C1-008E4D8B-3A91EB"
"AA555A0000000101","","2015-03-01 22:35:00.822Z",1027034323, 868300000,1, 1,"CRC_OK" , 23,"LORA",125000,"SF7"   ,"4/5",-42, +8.0,"00103254-7698BADC-FEED551A-000BA304-008E2E04-3AA18E"
"AA555A0000000101","","2015-03-01 22:35:22.154Z",1048379507, 868500000,1, 2,"CRC_OK" , 23,"LORA",125000,"SF7"   ,"4/5",-41, +7.8,"00103254-7698BADC-FEED551A-000BA304-00A23421-354136"
"AA555A0000000101","","2015-03-01 22:36:01.732Z",1087955932, 868000000,0, 5,"CRC_BAD", 64,"LORA",125000,"SF7"   ,"2/3",-117,-11.2,"9799C56C-C4A8B080-760DFED1-FA1C9E8E-087BF276-CB49FAD6-9E1B94C4-4A751778-1E3AAB48-02A6FCEF-2F7BAE8C-B6535402-4C1D004F-DEF41E17-8D64F761-15AF270E"
"AA555A0000000101","","2015-03-01 22:36:23.445Z",1109664539, 868300000,1, 1,"CRC_BAD",133,"LORA",125000,"SF7"   ,"4/7",-115,-12.0,"8BC4A8EF-2F7DC09C-3DD1F32E-B0C1A3D2-E0967A45-FA76C43E-C61DE0E6-C3B62E27-CA8341D3-9F802348-C8424426-BEEDB806-08F05EDE-9718B403-C38AE56D-B03664FE-95FF1C9F-30E6B207-D7B93203-1307291C-108E989B-6F0D3292-BC381EA8-FFAE0D0B-3AA139DE-9AD69E7E-6EE4737A-510FD94A-07C9DB9E-2725EC26-12FD9359-CBEC9DC6-BDA16B71-21"
"AA555A0000000101","","2015-03-01 22:38:23.475Z",1229690792, 868300000,1, 8,"CRC_BAD",188,"LORA",250000,"SF7"   ,"4/7",-114,-11.8,"73EE884E-AAF2D8D9-EC6B4A46-27429318-1C1CCA01-D2B5DD2C-5998AA44-59E22E74-FF378B79-7516BBEE-5150B90C-562A71DD-9940B7AF-07DA6A7A-74084B19-66749266-3E1C6205-A03B1B84-A811DA2A-17D7786C-0E4A9260-ED1C11B0-677F458E-32E9D046-4668551D-254B47D1-A38C0FDE-BDAA4CB3-DEC7E044-50E138A2-90D2926D-5DD404D8-586790F7-D299B545-1230F0B4-E8CCE054-C3B82F42-73D3AB1E-E6512896-FEE239C5-9F0A64B0-CB8001D4-E52F0855-5472B8B1-A808D561-C54FF325-34D1C598"
"AA555A0000000101","","2015-03-01 22:38:52.528Z",1258742875, 867600000,0, 3,"CRC_BAD", 14,"LORA",125000,"SF7"   ,"4/5",-95, -6.0,"B0C7EA9D-AB404C09-94370356-914C"
"AA555A0000000101","","2015-03-01 22:38:56.794Z",1263006795, 868500000,1, 2,"CRC_OK" , 14,"LORA",125000,"SF7"   ,"4/5",-33, +6.5,"8001EFCD-AB000000-0437035C-414C"
"AA555A0000000101","","2015-03-01 22:39:01.093Z",1267307556, 868300000,1, 1,"CRC_OK" , 14,"LORA",125000,"SF8"   ,"4/5",-37,+11.2,"8001EFCD-AB000000-0437035C-414C"
"AA555A0000000101","","2015-03-01 22:39:11.793Z",1277991892, 868000000,0, 0,"CRC_BAD", 14,"LORA",125000,"SF9"   ,"4/5",-97,-12.5,"10010A85-AB10631E-5D3712B8-584C"
"AA555A0000000101","","2015-03-01 22:39:11.793Z",1277991900, 868500000,1, 2,"CRC_OK" , 14,"LORA",125000,"SF9"   ,"4/5",-43, +7.8,"8001EFCD-AB000000-0437035C-414C"
"AA555A0000000101","","2015-03-01 22:39:11.793Z",1277991908, 868000000,0, 5,"CRC_BAD", 14,"LORA",125000,"SF9"   ,"4/5",-95, -8.0,"8031EFCD-2B006010-0437035A-814C"
"AA555A0000000101","","2015-03-01 22:39:24.164Z",1290374708, 868300000,1, 1,"CRC_OK" , 14,"LORA",125000,"SF9"   ,"4/5",-37,+11.5,"8001EFCD-AB000000-0437035C-414C"
"AA555A0000000101","","2015-03-01 22:39:34.673Z",1300881340, 867600000,0, 3,"CRC_BAD", 14,"LORA",125000,"SF10"  ,"4/5",-95, -4.5,"80018C04-AB000050-E437035C-1106"
"AA555A0000000101","","2015-03-01 22:39:53.932Z",1320145515, 867600000,0, 3,"CRC_BAD", 20,"LORA",125000,"SF7"   ,"2/3",-115,-11.0,"C83EAFC5-F507E990-C9D094CC-8E62B910-C73A1FCC"
"AA555A0000000101","","2015-03-01 22:39:59.194Z",1325389292, 868000000,0, 0,"CRC_BAD", 14,"LORA",125000,"SF10"  ,"4/5",-83, -7.8,"80018F07-AB000050-E837035C-1106"
"AA555A0000000101","","2015-03-01 22:39:59.194Z",1325389300, 868500000,1, 2,"CRC_OK" , 14,"LORA",125000,"SF10"  ,"4/5",-19, +6.8,"8001EFCD-AB000000-0437035C-414C"
"AA555A0000000101","","2015-03-01 22:39:59.194Z",1325389308, 868000000,0, 5,"CRC_OK" , 14,"LORA",125000,"SF10"  ,"4/5",-83, -8.5,"8001EFCD-AB000000-0437035C-414C"
"AA555A0000000101","","2015-03-01 22:42:32.517Z",1478708884, 868300000,1, 1,"CRC_OK" , 16,"LORA",125000,"SF10"  ,"4/5",-16, +8.8,"8001EFCD-AB000100-04EB4A40-78A58649"
"AA555A0000000101","","2015-03-01 22:42:32.517Z",1478708892, 867800000,0, 4,"CRC_BAD", 16,"LORA",125000,"SF10"  ,"4/5",-83, -9.2,"8001EFCD-AB000100-64EB4A40-78A58649"
"AA555A0000000101","","2015-03-01 22:42:37.058Z",1483256148, 867600000,0, 3,"CRC_BAD", 16,"LORA",125000,"SF10"  ,"4/5",-83, -5.2,"8001ECCD-2B001100-08EB4A40-7B258649"
